8526,0.10,-0.02,-0.01,0.00
8626,0.10,-0.02,-0.01,0.00
8726,0.08,-0.01,-0.03,0.00
8826,0.09,-0.01,-0.02,0.00
8926,0.10,-0.02,-0.02,0.00
9026,0.10,-0.01,-0.02,0.00
9126,0.09,0.00,-0.02,0.00
9226,0.11,0.00,-0.02,0.00
9326,0.24,0.02,0.03,0.00
9426,0.04,-0.04,-0.08,0.00
9526,0.11,-0.01,-0.02,0.00
9626,0.14,0.02,0.02,0.00
9726,0.08,0.00,0.01,0.00
9826,0.12,-0.04,-0.06,0.00
9926,0.08,0.02,-0.02,0.00
10026,0.08,-0.02,0.05,0.00
10126,0.10,-0.02,-0.07,0.00
10226,0.08,-0.02,-0.02,0.00
10326,0.14,-0.03,0.05,0.00
10426,0.08,0.00,0.02,0.00
10526,-0.01,-0.09,0.34,0.00
10626,-0.29,-0.39,1.33,0.00
10726,-0.85,-0.72,2.81,0.00
10826,-1.51,-1.24,4.82,0.00
10926,-2.12,-1.84,6.84,0.00
11026,-2.82,-2.39,8.86,0.00
11126,-3.40,-2.98,10.77,0.00
11226,-4.05,-3.70,12.87,0.00
11326,-4.02,-3.37,12.42,0.00
11426,-3.75,-3.19,12.04,0.00
11526,-3.85,-3.13,11.56,0.00
11626,-3.53,-3.11,11.20,0.00
11726,-3.36,-2.91,10.78,0.00
11826,-3.30,-2.80,10.30,0.00
11926,-3.09,-2.67,9.86,0.00
12026,-2.97,-2.54,9.41,0.00
12126,-2.84,-2.45,8.98,0.00
12226,-2.65,-2.30,8.55,0.00
12326,-2.57,-2.20,8.10,0.00
12426,-2.42,-2.09,7.70,0.00
12526,-2.29,-1.99,7.36,0.00
12626,-2.19,-1.90,6.96,0.00
12726,-2.04,-1.78,6.60,0.00
12826,-1.95,-1.70,6.24,0.00
12926,-1.81,-1.59,5.90,0.00
13026,-1.71,-1.50,5.58,0.00
13126,-1.49,-1.53,5.11,0.00
13226,-1.56,-1.24,4.73,0.00
13326,-1.11,-1.44,4.43,0.00
13426,-1.42,-0.86,3.85,0.00
